using device: mps
Total Parameters: 30,142,848
Trainable Parameters: 30,142,848
Model Size: 114.99 MB

Size by component:
transformer: 114.99 MB
loaded 338025 tokens
1 epoch = 82 batches
Training for 20000 steps
step 530, loss: 5.7906, avg_loss: 5.9546, best_loss: 5.5780, lr: 4.96e-05, time/batch: 0.971s
step 540, loss: 5.6972, avg_loss: 5.9080, best_loss: 5.5780, lr: 5.06e-05, time/batch: 1.079s
step 550, loss: 5.7317, avg_loss: 5.8892, best_loss: 5.5780, lr: 5.17e-05, time/batch: 1.090s
step 560, loss: 5.6979, avg_loss: 5.8617, best_loss: 5.4887, lr: 5.28e-05, time/batch: 1.090s
step 570, loss: 5.4574, avg_loss: 5.8147, best_loss: 5.3872, lr: 5.39e-05, time/batch: 1.088s
step 580, loss: 5.4611, avg_loss: 5.7915, best_loss: 5.3872, lr: 5.50e-05, time/batch: 1.108s
step 590, loss: 5.3182, avg_loss: 5.7590, best_loss: 5.3182, lr: 5.61e-05, time/batch: 1.069s
step 600, loss: 5.7114, avg_loss: 5.7370, best_loss: 5.3182, lr: 5.72e-05, time/batch: 1.106s
step 610, loss: 5.4573, avg_loss: 5.7219, best_loss: 5.3182, lr: 5.84e-05, time/batch: 1.085s
step 620, loss: 5.4909, avg_loss: 5.6832, best_loss: 5.3182, lr: 5.96e-05, time/batch: 1.071s
step 630, loss: 5.9540, avg_loss: 5.6591, best_loss: 5.3182, lr: 6.07e-05, time/batch: 1.116s
step 640, loss: 5.5265, avg_loss: 5.6380, best_loss: 5.2450, lr: 6.19e-05, time/batch: 1.073s
step 650, loss: 5.4142, avg_loss: 5.5972, best_loss: 5.2121, lr: 6.31e-05, time/batch: 1.084s
step 660, loss: 5.3750, avg_loss: 5.5712, best_loss: 5.1566, lr: 6.43e-05, time/batch: 1.062s
step 670, loss: 5.3540, avg_loss: 5.5438, best_loss: 5.1566, lr: 6.56e-05, time/batch: 0.972s
step 680, loss: 5.7061, avg_loss: 5.5118, best_loss: 5.0874, lr: 6.68e-05, time/batch: 0.960s
step 690, loss: 5.4727, avg_loss: 5.5035, best_loss: 5.0874, lr: 6.81e-05, time/batch: 1.024s
step 700, loss: 5.5587, avg_loss: 5.4754, best_loss: 5.0874, lr: 6.93e-05, time/batch: 0.962s
step 710, loss: 5.3853, avg_loss: 5.4452, best_loss: 5.0874, lr: 7.06e-05, time/batch: 0.976s
step 720, loss: 5.0353, avg_loss: 5.4307, best_loss: 5.0353, lr: 7.19e-05, time/batch: 1.037s
step 730, loss: 5.1129, avg_loss: 5.3937, best_loss: 4.9803, lr: 7.31e-05, time/batch: 0.978s
step 740, loss: 5.4243, avg_loss: 5.3669, best_loss: 4.9434, lr: 7.44e-05, time/batch: 1.002s
step 750, loss: 5.1140, avg_loss: 5.3401, best_loss: 4.9434, lr: 7.57e-05, time/batch: 1.021s
step 760, loss: 5.3591, avg_loss: 5.3030, best_loss: 4.8630, lr: 7.71e-05, time/batch: 0.976s
step 770, loss: 5.1575, avg_loss: 5.3014, best_loss: 4.8630, lr: 7.84e-05, time/batch: 1.025s
step 780, loss: 5.0865, avg_loss: 5.2856, best_loss: 4.8630, lr: 7.97e-05, time/batch: 0.978s
step 790, loss: 5.4175, avg_loss: 5.2536, best_loss: 4.8630, lr: 8.10e-05, time/batch: 0.993s
step 800, loss: 5.1390, avg_loss: 5.2499, best_loss: 4.8630, lr: 8.24e-05, time/batch: 1.015s
step 810, loss: 5.2061, avg_loss: 5.2205, best_loss: 4.7853, lr: 8.37e-05, time/batch: 0.971s
step 820, loss: 5.2672, avg_loss: 5.1816, best_loss: 4.7530, lr: 8.51e-05, time/batch: 0.995s
step 830, loss: 5.1621, avg_loss: 5.1647, best_loss: 4.7530, lr: 8.64e-05, time/batch: 1.018s
step 840, loss: 5.0111, avg_loss: 5.1301, best_loss: 4.6934, lr: 8.78e-05, time/batch: 0.973s
step 850, loss: 4.9860, avg_loss: 5.1278, best_loss: 4.6468, lr: 8.92e-05, time/batch: 0.996s
step 860, loss: 4.9956, avg_loss: 5.1196, best_loss: 4.6468, lr: 9.06e-05, time/batch: 1.015s
step 870, loss: 4.9955, avg_loss: 5.0861, best_loss: 4.6468, lr: 9.19e-05, time/batch: 0.978s
step 880, loss: 5.2211, avg_loss: 5.0863, best_loss: 4.6468, lr: 9.33e-05, time/batch: 1.009s
step 890, loss: 4.6197, avg_loss: 5.0572, best_loss: 4.6197, lr: 9.47e-05, time/batch: 1.016s
step 900, loss: 5.2592, avg_loss: 5.0116, best_loss: 4.5904, lr: 9.61e-05, time/batch: 0.985s
step 910, loss: 4.8442, avg_loss: 5.0024, best_loss: 4.5904, lr: 9.75e-05, time/batch: 1.040s
step 920, loss: 4.9421, avg_loss: 4.9797, best_loss: 4.5334, lr: 9.89e-05, time/batch: 0.996s
step 930, loss: 5.0561, avg_loss: 4.9693, best_loss: 4.4855, lr: 1.00e-04, time/batch: 0.978s
step 940, loss: 4.8600, avg_loss: 4.9664, best_loss: 4.4855, lr: 1.02e-04, time/batch: 1.032s
step 950, loss: 4.7650, avg_loss: 4.9349, best_loss: 4.4855, lr: 1.03e-04, time/batch: 0.999s
step 960, loss: 4.9642, avg_loss: 4.9352, best_loss: 4.4855, lr: 1.05e-04, time/batch: 0.978s
step 970, loss: 4.7033, avg_loss: 4.9201, best_loss: 4.4855, lr: 1.06e-04, time/batch: 1.032s
